epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,35.9003,0.20273,1,1,0.01395,0.000236049,0.000236049,0.000236049
2,57.0275,0.01362,1,1,0.00625,0.000464663,0.000464663,0.000464663
3,75.6195,0.01725,0.99277,1,0.01749,0.000683852,0.000683852,0.000683852
4,93.3358,0.02524,1,1,0.00168,0.000671588,0.000671588,0.000671588
5,110.081,0.02769,1,1,0.00098,0.000657451,0.000657451,0.000657451
6,127.113,0.0079,0.99036,1,0.0321,0.000643314,0.000643314,0.000643314
7,143.958,0.02702,1,1,0.00301,0.000629177,0.000629177,0.000629177
8,160.816,0.01352,1,1,0.00034,0.00061504,0.00061504,0.00061504
9,177.761,0.00889,0.99759,1,0.00322,0.000600902,0.000600902,0.000600902
10,194.532,0.00737,1,1,0.00072,0.000586765,0.000586765,0.000586765
11,211.508,0.09588,1,1,0.00018,0.000572628,0.000572628,0.000572628
12,229.852,0.00115,1,1,6e-05,0.000558491,0.000558491,0.000558491
13,247.234,0.00418,1,1,1e-05,0.000544354,0.000544354,0.000544354
14,264.258,0.00543,1,1,0.00032,0.000530216,0.000530216,0.000530216
15,281.478,0.00904,1,1,0.00036,0.000516079,0.000516079,0.000516079
16,298.537,0.0047,1,1,0,0.000501942,0.000501942,0.000501942
17,315.133,0.00268,1,1,0.00018,0.000487805,0.000487805,0.000487805
18,332.283,0.00039,1,1,0,0.000473668,0.000473668,0.000473668
19,348.82,0.09471,1,1,0,0.00045953,0.00045953,0.00045953
20,365.753,0.00148,1,1,9e-05,0.000445393,0.000445393,0.000445393
21,382.46,0.00055,1,1,7e-05,0.000431256,0.000431256,0.000431256
22,399.55,0.00056,1,1,2e-05,0.000417119,0.000417119,0.000417119
23,416.517,0.00017,1,1,1e-05,0.000402982,0.000402982,0.000402982
24,433.385,0.00016,1,1,3e-05,0.000388844,0.000388844,0.000388844
25,451.022,0.00064,1,1,1e-05,0.000374707,0.000374707,0.000374707
26,470.982,0.00027,1,1,1e-05,0.00036057,0.00036057,0.00036057
27,489.112,0.00057,1,1,1e-05,0.000346433,0.000346433,0.000346433
28,506.381,0.00059,1,1,0,0.000332296,0.000332296,0.000332296
29,523.142,0.00034,1,1,0,0.000318158,0.000318158,0.000318158
30,540.088,0.00018,1,1,0,0.000304021,0.000304021,0.000304021
31,556.922,0.00014,1,1,0,0.000289884,0.000289884,0.000289884
32,573.652,0.00291,1,1,3e-05,0.000275747,0.000275747,0.000275747
33,590.429,0.00071,1,1,0,0.00026161,0.00026161,0.00026161
34,607.318,0.00038,1,1,1e-05,0.000247472,0.000247472,0.000247472
35,624.119,0.00023,1,1,0,0.000233335,0.000233335,0.000233335
36,640.901,8e-05,1,1,0,0.000219198,0.000219198,0.000219198
37,657.494,0.00016,1,1,0,0.000205061,0.000205061,0.000205061
38,674.275,7e-05,1,1,0,0.000190924,0.000190924,0.000190924
39,691.023,5e-05,1,1,0,0.000176786,0.000176786,0.000176786
40,708.016,0.00028,1,1,0,0.000162649,0.000162649,0.000162649
